From 	To
PPP3CB	CAN
PPP3CA	CAN
PPP3R1	CAN
DVL1	DVL
DVL2	DVL
DVL3	DVL
CCND1	cycD
CCND2	cycD
CCND3	cycD
FRAT1	GBP
FRAT2	GBP
CTBP1	CTBP
CTBP2	CTBP
APC1	APC
APC2	APC
VANGL1	STBM
VANGL2	STBM
NKD1	NKD
NKD2	NKD
DAAM1	DAAM
DAAM2	DAAM
EP300	CBP
CREBBP	CBP
CACYBP	SIP2
SIP	SIP2
